Hetch Hetchy (O'Shaughnessy Dam)‘Tuolumne River,700,18/700,18/000,San Benito CountyFlood Control andWater Conserv Dist
Hog FlatSusan River,0,360/400,360/400,City and County ofSan Francisco
Huntington LakeBig Creek,°,8/000,8/000,Lassen Irrigationco
Ice HouseSouth Fork Silver Creek,600,89/800,89/200,Southern CaliforniaEdison Co / Ltd
ImperialColorado River,160,48/960,45/800,Sacramento MunicipalUtility District
Independence LakeIndependence Creek,-,-,18/500,Sterra PacificPower Co
Iron GateKlamath River,500,58/000,87/500,Pacific Power andLight Co
IsabellaKern River,326,570/000,569/700,Corps of Engineers
Jameson Lake (Juncal Dam)Santa Ynez River,268,6/590,6/320,Montecito CountyWater District
Jenkinson Lake (Sly Park Dam)Sly Park Creek,460,41/030,40/570,Bureau ofReclamation
Kent LakeLagunitas Creek,200,16/500,16/300,Marin MunicipalWater District
KeswickSacramento River,3/792,23/770,19/980,Bureau ofReclamation
LafayetteLafayette Creek,-,-,-,East Bay MunicipalUtility District
Lake AlmanorNorth Fork Feather River,-,-,641/600,Pacific Gas andElectric Co
Lake Arrowhead (Little Bear)Little Bear Creek,0,47/000,47/000,Los angeles TurfClub
Lake BerryessaPutah Creek,10/340,1/602/300,1/592/000,Bureau ofReclamation
Lake Britton (Pit No 3)Pit River,-,-,-,Pacific Gas andElectric Co
Lake CachumaSanta Ynez River,3/114,204/870,201/760,Bureau ofReclamation
Lake ClementineNorth Fork American River,1/800,14/600,12/800,Corps of Engineers
Lake Crowley (Long Valley Dam)Owens River,0,183 /500,183 /500,City of Los Angeles
Lake CurrySuisun Creek,0,10/700,10/700,City of Vallejo
Lake EleanorEleanor Creek,-,-,426 /100,City and County ofSan Francisco
Lake Elsman (Austrian Dam)Los Gatos Creek,60,6/150,6/090,City of San Jose
Lake FordyceFordyce Creek,-,46/700,-,Pacific Gas andElectric Co
